H,Z
26.56,62.911024
26.6,63.474365
26.64,64.047654
26.68,64.63118
26.72,65.225244
26.76,65.830158
26.8,66.446246
26.84,67.073848
26.88,67.713315
26.92,68.365015
26.96,69.029332
27.0,69.706289
27.04,70.396954
27.08,71.101481
27.12,71.820326
27.16,72.553964
27.2,73.302891
27.24,74.067628
27.28,74.84872
27.32,75.646738
27.36,76.462279
27.4,77.29597
27.48,79.020474
27.56,80.825924
27.64,82.718599
27.72,84.705457
27.8,86.794237
27.88,88.993569
27.96,91.313107
28.0,92.515247
28.04,93.757167
28.08,95.034839
28.12,96.34993
28.16,97.704211
28.2,99.099573
28.24,100.53803
28.28,102.02173
28.32,103.552971
28.36,105.134211
28.4,106.768082
28.44,108.457406
28.52,112.014758
28.6,115.833361
28.68,119.944693
28.76,124.38553
28.8,126.742733
28.84,129.199102
28.88,131.761288
28.92,134.43655
28.96,137.232823
29.0,140.115585
29.04,143.176746
29.08,146.387175
29.12,149.758365
29.16,153.303002
29.2,157.035124
29.24,160.970293
29.28,165.125804
29.32,169.520927
29.36,174.177177
29.4,179.118643
29.44,184.372358
29.48,189.968737
29.52,195.942087
29.56,202.331202
29.6,209.180054
29.64,216.538594
29.68,224.463684
29.72,233.020156
29.76,242.282013
29.8,252.333755
29.84,263.271785
29.88,275.205815
29.92,288.26007
29.96,302.573956
30.0,317.374172
30.04,334.494737
30.08,353.319549
30.12,373.998331
30.16,396.643471
30.2,421.285548
30.24,447.801388
30.28,475.805522
30.32,504.50278
30.36,532.522695
30.4,557.805368
30.44,577.675382
30.48,589.263448
30.52,590.298006
30.56,579.964689
30.6,559.296772
30.64,530.794762
30.68,497.540599
30.72,462.360679
30.76,427.37896
30.8,393.950281
30.84,362.800317
30.88,334.2185
30.92,308.225632
30.96,284.694301
31.0,262.423764
31.04,243.382479
31.08,226.122795
31.12,210.444604
31.16,196.165291
31.2,183.121685
31.24,171.169806
31.28,160.183533
31.32,150.052824
31.36,140.681838
31.4,131.987131
31.44,123.896007
31.48,116.345059
31.52,109.278899
31.56,102.649067
31.6,96.4131
31.64,90.533746
31.68,84.978302
31.72,79.718065
31.76,74.72788
31.8,69.98577
31.84,65.472657
31.88,61.17215
31.92,57.070417
31.96,53.156133
32.0,49.51806
32.04,45.96648
32.08,42.584999
32.12,39.374091
32.16,36.338256
32.2,33.486852
32.24,30.835156
32.28,28.405562
32.32,26.228699
32.36,24.343911
32.4,22.798112
32.44,21.641703
32.48,20.920648
32.52,20.665795
32.56,20.883462
32.6,21.552459
32.64,22.629476
32.68,24.059619
32.72,25.786771
32.76,27.760472
32.8,29.938945
32.84,32.289484
32.88,34.787512
32.92,37.415212
32.96,40.160186
33.0,43.145181
33.04,46.095401
33.08,49.14871
33.12,52.30514
33.16,55.566554
33.2,58.936385
33.24,62.419467
33.28,66.021924
33.32,69.751111
33.36,73.615601
33.4,77.625207
33.48,86.125575
33.52,90.642809
33.56,95.358368
33.6,100.289711
33.64,105.456353
33.68,110.880128
33.72,116.585506
33.76,122.599979
33.8,128.954506
33.84,135.684055
33.88,142.82824
33.92,150.432093
33.96,158.546979
34.0,167.198866
34.04,176.505584
34.08,186.52491
34.12,197.346482
34.16,209.07447
34.2,221.830386
34.24,235.756486
34.28,251.01984
34.32,267.817148
34.36,286.380332
34.4,306.982746
34.44,329.945577
34.48,355.643332
34.52,384.506077
34.56,417.013656
34.6,453.67274
34.64,494.959764
34.68,541.200493
34.72,592.340844
34.76,647.554271
34.8,704.664484
34.84,759.517911
34.88,805.788774
34.92,836.038651
34.96,844.402211
35.0,820.038827
35.04,786.981819
35.08,741.767768
35.12,691.0037
35.16,639.629149
35.2,590.619354
35.24,545.417225
35.28,504.494212
35.32,467.788177
35.36,434.982736
35.4,405.665926
35.44,379.412709
35.48,355.823849
35.52,334.541407
35.56,315.252397
35.6,297.686929
35.64,281.614158
35.68,266.837745
35.72,253.191695
35.76,240.537025
35.8,228.759563
35.84,217.769155
35.88,207.500681
35.92,197.917476
35.96,189.018027
36.0,181.118776
36.04,173.861148
36.08,167.640916
36.12,162.762679
36.16,159.661153
36.2,158.889516
36.24,161.03475
36.28,166.516271
36.32,175.274045
36.36,186.468564
36.4,198.432763
36.44,209.081486
36.48,216.672198
36.52,220.425307
36.56,220.576201
36.6,217.95696
36.64,213.520682
36.68,208.064773
36.72,202.153838
36.76,196.146791
36.8,190.253249
36.84,184.585059
36.88,179.193982
36.92,174.096539
36.96,169.289511
37.0,164.626547
37.04,160.374361
37.08,156.356669
37.12,152.553739
37.16,148.946517
37.2,145.517101
37.24,142.248935
37.28,139.126847
37.32,136.137018
37.36,133.266917
37.4,130.50523
37.44,127.841826
