t,Z
0.05766,7.4134932283273285
0.05768,7.412987300007051
0.0577,7.412456936514221
0.05772,7.411909363303209
0.05774,7.411344667410919
0.05776,7.41075903181104
0.05778,7.4101531014422
0.0578,7.409536989102443
0.05782,7.408906117465726
0.05784,7.408266692915916
0.05786,7.40739380791742
0.05788,7.4064921247682864
0.0579,7.40561790852691
0.05792,7.404733079780453
0.05794,7.40387147065446
0.05796,7.403084511500634
0.05798,7.402308008498829
0.058,7.401581747907845
0.05802,7.400898239153971
0.05804,7.400219092252409
0.05806,7.399544558062257
0.05808,7.398801703461823
0.0581,7.39807779933018
0.05812,7.3973645634187095
0.05814,7.396661642163594
0.05816,7.395996125768162
0.05818,7.395438637983246
0.0582,7.3949428730915265
0.05822,7.394493768291882
0.05824,7.394075866427137
0.05826,7.3936325318149665
0.05828,7.393110968465058
0.0583,7.392601740014098
0.05832,7.392072054309072
0.05834,7.391543186046508
0.05836,7.391021726329561
0.05838,7.390501411974431
0.0584,7.390001766036657
0.05842,7.389508974673149
0.05844,7.389018350950765
0.05846,7.388531009326543
0.05848,7.388039378555509
0.0585,7.387540042064433
0.05852,7.387039637085534
0.05854,7.386530328424417
0.05856,7.386011038462477
0.05858,7.385482683694629
0.0586,7.384935838094056
0.05862,7.384381476176472
0.05864,7.383819439498985
0.05866,7.383242709495685
0.05868,7.3826598517120905
0.0587,7.382073041144136
0.05872,7.3814703397832195
0.05874,7.380857405540063
0.05876,7.38023663650798
0.05878,7.379608074990329
0.0588,7.378981933927579
0.05882,7.378362820825131
0.05884,7.377750969774755
0.05886,7.377152965755167
0.05888,7.376566095412009
0.0589,7.375989250720753
0.05892,7.375415406702718
0.05894,7.374848294735228
0.05896,7.374284100098967
0.05898,7.3737238038509965
0.059,7.373171162171828
0.05902,7.372633338895494
0.05904,7.372103982985621
0.05906,7.371585265237248
0.05908,7.37107751501638
0.0591,7.370578084345669
0.05912,7.370083718380024
0.05914,7.36958929693755
0.05916,7.369089207710529
0.05918,7.3685861673043975
0.0592,7.3680808502814275
0.05922,7.367576169416131
0.05924,7.367075067481242
0.05926,7.3665715993864715
0.05928,7.366069640690761
0.0593,7.365566316255156
0.05932,7.3650618220430975
0.05934,7.364552740590914
0.05936,7.364037450276043
0.05938,7.36351206833087
0.0594,7.3629803516671295
0.05942,7.362444726102829
0.05944,7.361905258320056
0.05946,7.361366851915729
0.05948,7.3608265663002
0.0595,7.3602823615262265
0.05952,7.3597257939424905
0.05954,7.35916780564662
0.05956,7.358603652083214
0.05958,7.358040255424744
0.0596,7.357471511809923
0.05962,7.356897863450511
0.05964,7.356318100004255
0.05966,7.355734625011236
0.05968,7.3551512327850945
0.0597,7.354568142508347
0.05972,7.353981483833573
0.05974,7.353385082492769
0.05976,7.352777861835195
0.05978,7.3521594532888495
0.0598,7.351526099292966
0.05982,7.3508762402299705
0.05984,7.350208039200853
0.05986,7.3495157402776945
0.05988,7.348796098160061
0.0599,7.348042844929962
0.05992,7.34725271116645
0.05994,7.346417381027055
0.05996,7.345530565557376
0.05998,7.3445843785017
0.06,7.343569183804509
0.06002,8.377010407474794
0.06004,8.30269217427656
0.06006,8.231233600927512
0.06008,8.158413920927623
0.0601,8.086708026633705
0.06012,8.013886106261383
0.06014,7.945488545403612
0.06016,7.8783554698741085
0.06018,7.814250819000217
0.0602,7.752331455258898
0.06022,7.690578953666623
0.06024,7.632384167084333
0.06026,7.5768478768845515
0.06028,7.5221053921461865
0.0603,7.470974140705979
0.06032,7.423136349655121
0.06034,7.3777158527415105
0.06036,7.334391736828825
0.06038,7.29447897880088
0.0604,7.257221276097073
0.06042,7.221142141466164
0.06044,7.189100114777492
0.06046,7.159859473252258
0.06048,7.133296375139762
0.0605,7.108897641053628
0.06052,7.0878249432060345
0.06054,7.0690623980246805
0.06056,7.051827140288554
0.06058,7.037456606044391
0.0606,7.026812467739181
0.06062,7.017932528717792
0.06064,7.012213429826136
0.06066,7.0099902315558165
0.06068,7.009211874727454
0.0607,7.008624079258414
0.06072,7.010422436522565
0.06074,7.014496639502192
0.06076,7.020674167962619
0.06078,7.026471807947659
0.0608,7.033943167944767
0.06082,7.044769985048925
0.06084,7.053618438530912
0.06086,7.063085469861324
0.06088,7.0728675489851005
0.0609,7.084391844608945
0.06092,7.096858096798751
0.06094,7.108128743662953
0.06096,7.11985921621657
0.06098,7.133101747249835
0.061,7.145438102758117
0.06102,7.157559301765551
0.06104,7.170183954096689
0.06106,7.185121337899702
0.06108,7.2007560060254425
0.0611,7.215550241943891
0.06112,7.231140502776165
0.06114,7.246452394856334
0.06116,7.262100251776373
0.06118,7.276740424241423
0.0612,7.293082822737369
0.06122,7.307567123361585
0.06124,7.320484141087095
0.06126,7.333957848561849
0.06128,7.346335574474817
0.0613,7.356245620765918
0.06132,7.3671238106267385
0.06134,7.375360137498843
0.06136,7.383717409171171
0.06138,7.3882940125516745
0.0614,7.392213111007739
0.06142,7.396504015447425
0.06144,7.399737813642064
0.06146,7.400732270722355
0.06148,7.403075091610762
0.0615,7.404987789324102
0.06152,7.405449598449714
0.06154,7.4058912466305316
0.06156,7.4076988509428645
0.06158,7.407972011579528
0.0616,7.40930294035647
0.06162,7.411408982531986
0.06164,7.413473479058794
0.06166,7.414385834835074
0.06168,7.416741689654178
0.0617,7.418103397225902
0.06172,7.419377508487855
0.06174,7.420693096585188
0.06176,7.420949168934436
0.06178,7.424141519172282
0.0618,7.4247255160433445
0.06182,7.425164021961074
0.06184,7.4260310956771916
0.06186,7.425183452464437
0.06188,7.424464186698422
0.0619,7.42194966492166
0.06192,7.4205308545849356
0.06194,7.419547525381547
0.06196,7.417686120006235
0.06198,7.415231231778983
0.062,7.4118123438930335
0.06202,7.409806968096001
0.06204,7.407364062963052
0.06206,7.40488035057404
0.06208,7.403429506173922
0.0621,7.40136085108624
0.06212,7.3984165653265235
0.06214,7.396353258333958
0.06216,7.3941750010649825
0.06218,7.3917932729793625
0.0622,7.389795506841485
0.06222,7.386233328859195
0.06224,7.384182675785387
0.06226,7.382212597924776
0.06228,7.37891919776791
0.0623,7.376133436523341
0.06232,7.372853278916619
0.06234,7.37071075612645
0.06236,7.369311408989601
0.06238,7.367961789244532
0.0624,7.365924181987162
0.06242,7.36326882218728
0.06244,7.362803898787106
0.06246,7.362718803327516
0.06248,7.362299725209925
0.0625,7.361469974500674
